Champ1,Champ2,Champ3,Champ4,Champ5,Games,Wins
MonkeyKing,Yasuo,,,,905,457
MonkeyKing,Tristana,,,,737,382
MonkeyKing,Pantheon,,,,370,198
Tristana,Yasuo,,,,2331,1125
Pantheon,Yasuo,,,,1645,763
Pantheon,Tristana,,,,1950,944
LeeSin,Nasus,,,,750,371
Kassadin,Nasus,,,,126,65
Jinx,Nasus,,,,1479,740
Blitzcrank,Nasus,,,,441,226
Kassadin,LeeSin,,,,275,112
Jinx,LeeSin,,,,2598,1242
Blitzcrank,LeeSin,,,,1013,488
Jinx,Kassadin,,,,426,208
Blitzcrank,Kassadin,,,,110,40
Blitzcrank,Jinx,,,,1471,698
Ezreal,Yorick,,,,2703,1411
Milio,Yorick,,,,697,417
Elise,Ezreal,,,,1002,502
Elise,Milio,,,,176,96
Ezreal,Naafiri,,,,2621,1254
Milio,Naafiri,,,,571,289
Ezreal,Milio,,,,558,260
Gwen,Teemo,,,,620,296
Jayce,Teemo,,,,273,143
Ashe,Teemo,,,,1562,768
Swain,Teemo,,,,809,434
Gwen,Jayce,,,,543,256
Ashe,Gwen,,,,1407,658
Gwen,Swain,,,,717,362
Ashe,Jayce,,,,767,359
Jayce,Swain,,,,418,207
Mordekaiser,Zoe,,,,325,154
Corki,Mordekaiser,,,,322,151
Mordekaiser,Zilean,,,,251,120
Viego,Zoe,,,,564,275
Corki,Viego,,,,432,227
Viego,Zilean,,,,349,182
Corki,Zoe,,,,99,39
Zilean,Zoe,,,,75,30
Corki,Zilean,,,,101,51
Ekko,Gangplank,,,,342,175
Gangplank,Garen,,,,124,57
Gangplank,Mel,,,,593,283
Gangplank,Senna,,,,307,142
Ekko,Garen,,,,977,479
Ekko,Mel,,,,734,348
Garen,Mel,,,,1707,810
Garen,Senna,,,,851,422
Mel,Senna,,,,744,362
Renekton,Zyra,,,,482,239
Renekton,Tristana,,,,959,486
Kaisa,Renekton,,,,1436,674
Renekton,Yuumi,,,,569,270
Tristana,Zyra,,,,1099,559
Kaisa,Zyra,,,,1355,667
Yuumi,Zyra,,,,155,71
Kaisa,Tristana,,,,465,198
Tristana,Yuumi,,,,1950,1027
Kaisa,Yuumi,,,,1127,540
Quinn,Yorick,,,,322,172
Katarina,Quinn,,,,214,102
Quinn,Varus,,,,310,154
Milio,Quinn,,,,179,108
Katarina,Yorick,,,,905,474
Varus,Yorick,,,,1231,645
Katarina,Varus,,,,631,295
Katarina,Milio,,,,341,189
Milio,Varus,,,,432,221
Ekko,Irelia,,,,639,322
Irelia,Zed,,,,676,321
Caitlyn,Irelia,,,,1696,863
Irelia,Nami,,,,756,387
Ekko,Zed,,,,898,428
Caitlyn,Ekko,,,,1794,876
Ekko,Nami,,,,848,444
Nami,Zed,,,,1324,672
Caitlyn,Nami,,,,1814,918
Akali,Belveth,,,,224,109
Akali,Xerath,,,,554,288
Akali,Sylas,,,,468,230
Belveth,Xerath,,,,187,94
Akshan,Belveth,,,,60,28
Belveth,Sylas,,,,274,138
Akshan,Xerath,,,,148,80
Sylas,Xerath,,,,842,433
Akshan,Sylas,,,,166,80
Naafiri,Rammus,,,,129,66
Anivia,Rammus,,,,83,43
Rammus,Varus,,,,304,142
Alistar,Rammus,,,,103,53
Anivia,Naafiri,,,,338,186
Alistar,Naafiri,,,,653,320
Anivia,Varus,,,,326,138
Alistar,Anivia,,,,145,67
Alistar,Varus,,,,595,274
Darius,Graves,,,,694,344
Aurora,Darius,,,,519,226
Darius,Ezreal,,,,2614,1188
Darius,Soraka,,,,680,370
Aurora,Graves,,,,263,126
Ezreal,Graves,,,,1542,730
Graves,Soraka,,,,289,150
DrMundo,Gangplank,,,,119,58
Gangplank,Gwen,,,,337,171
Gangplank,Smolder,,,,319,128
Gangplank,Nami,,,,539,282
DrMundo,Gwen,,,,415,201
DrMundo,Smolder,,,,551,284
Gwen,Smolder,,,,785,395
Nami,Smolder,,,,774,419
Gragas,Kayn,,,,464,222
Gragas,Senna,,,,277,125
Kassadin,Kayn,,,,252,125
Kayn,Nilah,,,,323,173
Kayn,Senna,,,,799,374
Kassadin,Nilah,,,,61,34
Kassadin,Senna,,,,141,68
Nilah,Senna,,,,236,136
Gwen,Riven,,,,324,172
Katarina,Riven,,,,313,145
Caitlyn,Riven,,,,969,468
Nautilus,Riven,,,,511,235
Gwen,Katarina,,,,569,266
Caitlyn,Gwen,,,,2374,1135
Gwen,Nautilus,,,,1208,582
Caitlyn,Katarina,,,,1467,715
Katarina,Nautilus,,,,723,336
Caitlyn,Nautilus,,,,2024,967
Lillia,Urgot,,,,325,171
Garen,Urgot,,,,117,52
Tristana,Urgot,,,,734,340
Milio,Urgot,,,,264,139
Garen,Lillia,,,,884,477
Lillia,Tristana,,,,1197,594
Lillia,Milio,,,,365,182
Garen,Tristana,,,,1827,873
Garen,Milio,,,,614,336
Milio,Tristana,,,,613,318
Gragas,Kayle,,,,108,53
Kayle,Qiyana,,,,198,85
Ezreal,Kayle,,,,1116,555
Kayle,Rakan,,,,248,126
Ezreal,Gragas,,,,934,421
Gragas,Rakan,,,,203,97
Ezreal,Qiyana,,,,519,235
Qiyana,Rakan,,,,124,65
Gangplank,Nasus,,,,65,28
