Name,Role,Games,Wins,Losses,WR
Ahri,UTILITY,131,52,79,39.69
Kayn,JUNGLE,6080,2983,3097,49.06
Kayn,TOP,384,180,204,46.88
Kayn,MIDDLE,49,30,19,61.22
Kayn,BOTTOM,6,0,6,0
Kayn,,11,0,11,0
Kayn,UTILITY,8,3,5,37.5
Mel,MIDDLE,5595,2710,2885,48.44
Mel,BOTTOM,2103,1014,1089,48.22
Mel,UTILITY,2845,1365,1480,47.98
Mel,TOP,266,125,141,46.99
Mel,,6,0,6,0
Mel,JUNGLE,7,2,5,28.57
Caitlyn,BOTTOM,12911,6470,6441,50.11
Caitlyn,MIDDLE,177,65,112,36.72
Caitlyn,TOP,104,58,46,55.77
Caitlyn,UTILITY,69,21,48,30.43
Caitlyn,,8,0,8,0
Caitlyn,JUNGLE,3,0,3,0
Pyke,UTILITY,4292,2002,2290,46.64
Pyke,MIDDLE,84,32,52,38.1
Pyke,TOP,17,6,11,35.29
Pyke,,8,0,8,0
Pyke,JUNGLE,18,9,9,50
Pyke,BOTTOM,48,29,19,60.42
